Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U3         SOIC-8_-_N_-_Power_Pad        43.5mm        92.7mm        43.5mm        92.7mm      45.405mm     95.5001mm  T        180.00 TPS5431        
R27        SM/R_0603              91.4mm        22.9mm        91.4mm        22.9mm        91.4mm     23.6112mm  B        270.00 10K            
R26        SM/R_0603              93.4mm        22.9mm        93.4mm        22.9mm        93.4mm     23.6112mm  B        270.00 10K            
R25        SM/R_0603              35.2mm        55.8mm        35.2mm        55.8mm        35.2mm     55.0888mm  T         90.00 4K7            
R24        SM/R_0603              35.2mm        52.6mm        35.2mm        52.6mm        35.2mm     53.3112mm  T        270.00 4K7            
R23        SM/R_0603              29.5mm        60.6mm        29.5mm        60.6mm        29.5mm     61.3112mm  T        270.00 33R            
R22        SM/R_0603              30.4mm          56mm        30.4mm          56mm        30.4mm     56.7112mm  T        270.00 100R           
R21        SM/R_0603              31.8mm          56mm        31.8mm          56mm        31.8mm     55.2888mm  T         90.00 100R           
R20        SM/R_0603                23mm        98.3mm          23mm        98.3mm          23mm     97.5888mm  T         90.00 220R           
R19        SM/R_0603                24mm       112.7mm          24mm       112.7mm          24mm    111.9888mm  T         90.00 220R           
R18        SM/R_0603              35.5mm       119.1mm        35.5mm       119.1mm        35.5mm    118.3888mm  B         90.00 220R           
R13        SM/R_0603                88mm          40mm          88mm          40mm     87.2888mm          40mm  T        360.00 10K            
R12        SM/R_0603                88mm          35mm          88mm          35mm     87.2888mm          35mm  T        360.00 10K            
R11        SM/R_0603                88mm          25mm          88mm          25mm     87.2888mm          25mm  T        360.00 110R           
R10        SM/R_0603                88mm          29mm          88mm          29mm     87.2888mm          29mm  T        360.00 110R           
R9         SM/R_0603              30.4mm        35.4mm        30.4mm        35.4mm        30.4mm     34.6888mm  T         90.00 33R            
R8         SM/R_0603              37.5mm       124.3mm        37.5mm       124.3mm     38.2112mm       124.3mm  T        180.00 330K           
R7         SM/R_0603              43.8mm      102.45mm        43.8mm      102.45mm     43.0888mm      102.45mm  T        360.00 3.24K          
R6         SM/R_0603              46.3mm      102.45mm        46.3mm      102.45mm     47.0112mm      102.45mm  T        180.00 10K            
R5         SM/R_0603              84.1mm        24.9mm        84.1mm        24.9mm     84.8112mm        24.9mm  T        180.00 1K             
R4         SM/R_0603              84.1mm        23.5mm        84.1mm        23.5mm     84.8112mm        23.5mm  T        180.00 3K9            
R2         SM/R_0603              84.1mm        22.1mm        84.1mm        22.1mm     84.8112mm        22.1mm  T        180.00 3K9            
Q3         SOT23                55.306mm     138.558mm      55.306mm     138.558mm      54.206mm     139.508mm  T        270.00 FDV301N        
JP3        BLKCON.100/VH/TM1SQ/W.100/2          97mm        17.4mm          97mm        17.4mm       98.27mm        17.4mm  T        180.00 JUMPER         
JP2        BLKCON.100/VH/TM1SQ/W.100/3        98.5mm        11.8mm        98.5mm        11.8mm        98.5mm        9.26mm  T         90.00 HEADER_3       
JP1        BLKCON.100/VH/TM1SQ/W.100/3        95.5mm        11.8mm        95.5mm        11.8mm        95.5mm        9.26mm  T         90.00 HEADER_3       
FB2        SM/L_0805              68.5mm          93mm        68.5mm          93mm        68.5mm     94.0668mm  T        270.00 LM21PG221SN1D  
FB1        SM/L_0805                41mm       110.4mm          41mm       110.4mm     42.0668mm       110.4mm  T        180.00 LM21PG221SN1D  
F1         5x20_LittelFuse_111_50x     29.5996mm     75.9007mm     29.5996mm     75.9007mm     20.6997mm     78.4007mm  T        360.00 Fuse           
D15        SM/D_DO214-AC_(SMA)        33.5mm       145.5mm        33.5mm       145.5mm       35.55mm       145.5mm  T        180.00 SMAJ5.0A-TR    
D14        SM/D_DO214-AC_(SMA)        33.5mm       138.5mm        33.5mm       138.5mm       35.55mm       138.5mm  T        180.00 SMAJ5.0A-TR    
D13        SM/D_DO214-AC_(SMA)        33.5mm         142mm        33.5mm         142mm       35.55mm         142mm  T        180.00 SMAJ5.0A-TR    
D12        SM/D_DO214-AC_(SMA)        33.5mm       134.5mm        33.5mm       134.5mm       35.55mm       134.5mm  T        180.00 SMAJ5.0A-TR    
D11        SM/D_DO214-AC_(SMA)        70.5mm       105.5mm        70.5mm       105.5mm       68.45mm       105.5mm  T        360.00 SMAJ6.5A-TR    
D10        SM/D_DO214-AC_(SMA)        70.5mm         109mm        70.5mm         109mm       68.45mm         109mm  T        360.00 SMAJ6.5A-TR    
D9         SM/D_DO214-AC_(SMA)        70.5mm        98.5mm        70.5mm        98.5mm       68.45mm        98.5mm  T        360.00 SMAJ6.5A-TR    
D8         SM/D_DO214-AC_(SMA)        70.5mm         102mm        70.5mm         102mm       68.45mm         102mm  T        360.00 SMAJ6.5A-TR    
D7         SM/D_DO214-AC_(SMA)        32.6mm        82.7mm        32.6mm        82.7mm       30.55mm        82.7mm  T        360.00 SMAJ20A-TR     
